Store Name,Latitude,Longitude,Address,Place ID
Target,41.50061830000001,-81.5328699,"14070 Cedar Road, University Heights",ChIJBd2B1Jb9MIgRfoiS2LTn0Pk
Target,41.6291084,-81.42994689999999,"36195 Euclid Avenue, Willoughby",ChIJ5YCtyCeqMYgRElkRfXKSwvE
Target,41.6862469,-81.29393519999999,"9669 Mentor Avenue, Mentor",ChIJ78P5ssylMYgRVLQVU0q2y-M
Target,41.35707670000001,-81.3863411,"18855 North Market Place Drive, Aurora",ChIJl6BDSn4ZMYgRPNXlac3OTSY
Target,41.0404088,-81.69072969999999,"1183 Williams Reserve Boulevard, Wadsworth",ChIJGafGRHXSMIgRtYwHHTMayXo
Target,41.4202263,-81.8953054,"24646 Brookpark Road, North Olmsted",ChIJT4Q4LhKTMIgRpAlVNf8lJH4
Target,41.1209557,-81.4773818,"449 Howe Avenue, Cuyahoga Falls",ChIJ4yprBHwoMYgRH8i8pVsr_wg
Target,41.1547186,-81.8654215,"1015 North Court Street, Medina",ChIJOUuy6P_HMIgRYcZIcFuhhgw
Target,41.4578848,-81.6891534,"3535 Steelyard Drive, Cleveland",ChIJ09oCUVXlMIgRXYckH7ezqQ4
Target,40.8621536,-81.4314481,"5584 Dressler Road Northwest, North Canton",ChIJpUSYPsrWNogRlNVcCp9WPLs
Target,41.1280448,-81.60522979999999,"2801 West Market Street, Fairlawn",ChIJGTnBXK3QMIgRDgULwwfSHv8
Target,40.983936,-81.49581479999999,"762 Arlington Ridge, Akron",ChIJs7bpDL8qMYgRm6Akf2ZDq08
